University,,State,CAE-CD,CAE-2Y,CAE-R,CAE-CO,Research Center,Security as CS,CS Curr Link,Security as SE,SE Curr Link,Security as IS,IS Curr Link,Security as IT,IT Curr Link,Security as (Computer)Engineering,CE Or E Curr Site,Dedicated Degree,Dedicated Degree Link,Security Department,Security Minor,Security Minor Site,Masters Program,Masters Curr Link,GenCyber,2017 CCDC Birth,2016 CCDC Birth,2015 CCDC Birth,2014 CCDC Birth,2013 CCDC Birth,2012 CCDC BIRTH,2011 CCDC BIRTH,2010 CCDC BiRTH,2009 CCDC Birth,2008 CCDC Birth,2007 CCDC Birth,2006 CCDC Birth,2005 CCDC Birth
University of North Texas,http://www.unt.edu,Texas,TRUE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
University of Texas at Dallas,http://www.utdallas.edu,Texas,TRUE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
University of Texas at El Paso,http://www.utep.edu/,Texas,TRUE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
George Mason University,http://www.gmu.edu,Virginia,TRUE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Hampton University,http://www.hamptonu.edu/,Virginia,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
James Madison University,http://www.infosec.jmu.edu/,Virginia,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Liberty University,http://www.liberty.edu/,Virginia,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Marymount University,http://www.marymount.edu,Virginia,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Norfolk State University,http://www.nsu.edu/iaredi,Virginia,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Radford University,https://php.radford.edu/~itec,Virginia,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Virginia Polytechnic Institute and State University,http://www.vt.edu/,Virginia,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Columbia Basin College,http://www.columbiabasin.edu/,Washington,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
City University of Seattle,http://www.cityu.edu/,Washington,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
University of Washington,http://www.washington.edu,Washington,TRUE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Western Washington University,http://www.wwu.edu/,Washington,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
West Virginia University,http://www.wvu.edu/,West Virginia,TRUE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
University of Wyoming,http://www.uwyo.edu/,Wyoming,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
